Chargecode,Description,CPT/HCPCS,Fee
23333,REMOVE SHOULDER FB DEEP - FAC,23333,"3,974.00"
23334,SHOULDER PROSTHESIS REMOVAL - FAC,23334,"6,293.00"
23350,INJ PROC FOR SHOULDR ARTHR/ENH CT/MRI SHOULDER ARTHR - FAC,23350,441.00
23395,MUSCLE TRANSFER PARALYSIS OF SHLDR SINGLE--FAC,23395,"16,528.00"
23397,MUSCLE TRANSFERS--FAC,23397,"16,528.00"
23400,FIXATION OF SHOULDERBLADE--FAC,23400,"16,528.00"
23405,TENOMYOTOMY;SINGLE--FAC,23405,"16,528.00"
23406,INCISE TENDON(S) & MUSCLE(S)--FAC,23406,"7,479.00"
23410,REPAIR RUPTURES SURASPINATUS TENDON OR MUSCULOTENDINOUS CUFF,23410,"17,756.00"
23412,RPR RUPTURES SUPRASPINATUS TNDN/MUSCULOTENDINOUS CUFF CHR,23412,"17,134.00"
23415,"CORACOACROMIAL LIGAMENT RELEASE,W-W/O ACROMIOPLASTY--FAC",23415,"16,528.00"
23420,"RECONSTRUCTION OF COMPLETE SHOULDER CUFF AVULSION, CHRONIC",23420,"16,528.00"
23430,TENODESIS FOR RUPTURE OF LONG TENDON OF BICEPS--FAC,23430,"16,528.00"
23440,RESECT/TRANSPLANT LNG TENDON OF BICEPS FOR CHRONIC TENOSYNOV,23440,"7,479.00"
23450,"CAPSULORRHAPHY FOR RECURRENT DISLOCATION,ANTERIOR(SHOULDER)",23450,"18,170.00"
23455,"CAPSULORRHAPHY, ANTERIOR, WITH LABRAL REPAIR - FAC",23455,"18,170.00"
23460,CAPSULORRHAPHY FOR RECURRNT DISLOCATION ANTERIOR,23460,"18,170.00"
23462,CAPSULORRHAPHY RECURRNT DISLOCATION W/CORACOID PROCESS TRANS,23462,"16,528.00"
23465,REPAIR SHOULDER CAPSULE--FAC,23465,"16,528.00"
23466,CAPSULORRHAPHY FOR RECRRNT DISLOCATION,23466,"16,528.00"
23470,ARTHROPLASTY SHOULDER WITH PROXIMAL HUMERAL IMPLANT--FAC,23470,"29,843.00"
23473,"REVIS RECONST SHOULDER JOINT, HUMERAL OR GLENOID - FAC",23473,"29,843.00"
23480,OSTEOTOMY CLAVICLE WITH OR WITHOUT SKELETAL FIXATION--FAC,23480,"16,528.00"
23485,"OSTEOTOMY CLAVICLE, W/BONE GRAFT FOR NON-UNION OR MALUNION",23485,"29,843.00"
23490,REINFORCE CLAVICLE--FAC,23490,"18,170.00"
23491,ARTHROPLASTY SHLDR W/GLENOID & PROXIMAL HUMERAL REPLACEMENT,23491,"29,843.00"
23500,CLAVICULAR FRACTURE CLOSED--FAC,23500,816.00
23505,TREAT CLAVICLE FRACTURE--FAC,23505,"3,980.00"
23515,"CLAVICULAR FRACTURE CLOSED OR OPEN,OPEN REDUCT,W OR W/O FIX",23515,"19,852.00"
23520,TREAT CLAVICLE DISLOC--FAC,23520,"3,771.00"
23525,"*TREATMENT OF CLOSED STERNOCLAVICULAR DISLOCATION,W/MANIP",23525,816.00
23530,REPAIR CLAVICLE DISLOCATION--FAC,23530,"16,528.00"
23532,"REPAIR CLAVICLE DISLOC, W/FASCIAL GRAFT-FAC",23532,"16,528.00"
23540,TREAT CLAVICLE DISLOCATION - FAC,23540,816.00
23545,TREAT CLAVICLE DISLOCATION -  FAC,23545,816.00
23550,OPEN REDUCTION ACROMIOCLAVICULAR DISLOCATION,23550,"16,528.00"
23552,ACROMIOCLAVICULAR DISLOCATION WITH FASCIAL GRAFT--FAC,23552,"16,528.00"
23570,TREAT SHOULDERBLADE FRACTURE--FAC,23570,816.00
23575,TREAT SHOULDERBLADE FRACTURE W/MANIPULATION - FAC,23575,"3,980.00"
23585,SCAPULAR FX OPEN TX INCL FIX,23585,"19,208.00"
23600,"CLOS TRTMNT OF PROXIMAL HUMERAL FRACTURE, W/O MANIPULATION",23600,973.00
23605,"CLSED TX OF PRXIMAL HUM FX, W/MANIP, W/WO SKEL TRACTION-FAC",23605,"5,728.00"
23615,"HUMERUS SURGICAL OR ANATOMICAL NECK FX, OPEN",23615,"29,843.00"
23616,REPAIR HUMERUS FX--FAC,23616,"45,314.00"
23620,TRTMNT OF CLSD GRTER TUBEROSITY FRCTRE W/O MANIPULAT -FAC,23620,816.00
23625,TREAT HUMERUS FRACTURE - FAC,23625,"3,980.00"
23630,"GREATER TUBEROSITY FRACTURE CLOSED OR OPEN,OPEN REDUCTION",23630,"15,206.00"
23650,TRTMNT OF CLSD SHLDR DISLOC W/MANIP & W/O ANESTHESIA -FAC,23650,"1,121.00"
23655,"*TREATMENT OF CLOSED SHLDR DISLOCATION,W/MANIPULATION",23655,"3,980.00"
23660,OPEN TREATMENT OF CLOSED OR OPEN SHOULDER DISLOCATION--FAC,23660,"16,528.00"
23665,"*TREATMENT OF CLSD SHLDR DISLOCATION,W/FX OF GRTR TUBEROSITY",23665,"3,980.00"
23670,REPAIR DISLOCATION/FRACTURE--FAC,23670,"16,023.00"
23675,"CLOSED TX OF SHOULDER DISLOC, W/ SURGICAL/FX, WITH MANIP-FAC",23675,"3,980.00"
23680,SHOULDER DISLOCATION CLOSED OR OPEN OPEN REDUCTION--FAC,23680,"29,843.00"
23700,"MANIP UNDER ANESTHESIA,SHOULDER JOINT,INCL APPL OF FIX APPAR",23700,"3,980.00"
23800,"ARTHRODESIS,SHOULDER JOINT,W-W/O LOCAL BONE GRAFT--FAC",23800,"18,170.00"
23802,FUSION OF SHLD JOINT W/AUTOGENOUS GRAFT INC OBTAINING GRAFT,23802,"29,843.00"
23921,AMPUTATION FOLLOW-UP SURGERY--FAC,23921,"6,284.00"
23929,"UNLISTED PROCEDURE,SHOULDER--FAC",23929,802.00
23930,"I&D,UPPER ARM OR ELBOW,DEEP ABSCESS OR HEMATOMA--FAC",23930,"4,466.00"
23931,I & D INFECTED BURSA--FAC,23931,"3,974.00"
23935,DRAIN ARM/ELBOW BONE LESION--FAC,23935,"7,799.00"
2399002,"HANDLING FEE, 3 DAY RUSH CUSTOM ORTHO",,20.00
24000,ARTHROTOMY ELBOW W/EXPLR DRAIN OR REMOVAL OF FOREIGN BODY,24000,"7,479.00"
24006,"ARTHROTOMY,ELBOW,W/CAPSULAR EXCISION FOR CAPSULAR RELEASE",24006,"7,106.00"
24065,"BIOPSY, SOFT TISSUE OF UPPER ARM OR ELBOW,SUPERFICIAL--FAC",24065,"4,626.00"
24066,"*BIOPSY,SOFT TISS OF UPPER ARM OR ELBOW AREA-DEEP--FAC",24066,"6,854.00"
24071,EXC ARM/ELBOW LES SC GTE 3 CM - FAC,24071,"7,190.00"
24073,EX ARM/ELBOW TUM DEEP GT 5 CM - FAC,24073,"7,238.00"
24075,"EXC, TUMOR, SOFT TISS, UPPER ARM/ELBOW, SUBQ, LESS THAN 3CM",24075,"6,610.00"
24076,"EXC,TUMOR,UPR ARM/ELBOW AREA,SUBFASC (EG,IM), LESS THAN 5CM",24076,"6,854.00"
24077,"RAD RESECT TUMOR,SOFT TISS UPPER ARM/ELBOW, LESS THAN 5CM",24077,"6,854.00"
24079,RESECT ARM/ELBOW TUM GTE 5 CM - FAC,24079,"7,175.00"
24100,BIOPSY ELBOW JOINT LINING--FAC,24100,"7,799.00"
24101,EXPLORE/TREAT ELBOW JOINT--FAC,24101,"7,106.00"
24102,ARTHROTOMY (CAPSULOTOMY) ELBOW FOR SYNOVECTOMY--FAC,24102,"7,479.00"
24105,"EXCISION,OLECRANON BURSA--FAC",24105,"7,799.00"
24110,"EXC OR CURRETTAGE OF BONE CYST OR BENIGN TUMOR, HUMERUS--FAC",24110,"7,799.00"
24115,REMOVE/GRAFT BONE LESN--FAC,24115,"16,528.00"
24116,REMOVE/GRAFT BONE LESION - FAC,24116,"16,528.00"
24120,"EXC/CURETT OF BONE CYST,BGN TMR OF HEAD/NECK OF RADIUS PROC",24120,"7,799.00"
24125,REMOVEV/GRAFT BONE LESION  --FAC,24125,"7,479.00"
24126,REMOVE / GRAFT BONE LESION - FAC,24126,"16,528.00"
24130,RADIAL HEAD EXCISION--FAC,24130,"10,770.00"
24134,REMOVAL OF ARM BONE LESION--FAC,24134,"16,528.00"
24136,REMOVE RADIUS BONE LESION--FAC,24136,"7,479.00"
24138,REMOVE ELBOW BONE LESION--FAC,24138,"16,528.00"
24140,PARTIAL REMOVAL OF ARM BONE--FAC,24140,"7,479.00"
24145,PARTIAL REMOVAL OF RADIUS--FAC,24145,"16,528.00"
24147,"PARTIAL EXCISION OF BONE, OLECRANON PROCESS--FAC",24147,"8,975.00"
24149,"RADICAL RESECT OF CAPS,HETER BONE,W/CONT RELEASE,SEP PROC",24149,"16,528.00"
24150,EXTENSIVE HUMERUS SURGERY--FAC,24150,"16,528.00"
24152,EXTENSIVE RADIUS SURG--FAC,24152,"16,528.00"
24155,REMOVAL OF ELBOW JOINT--FAC,24155,"7,479.00"
24160,IMPLANT REMOVAL HUMERAL/ULNAR COMP--FAC,24160,"7,479.00"
24164,REMOVE RADIUS HEAD IMPLANT--FAC,24164,"7,479.00"
24200,"REMOVAL FOREIGN BODY,SUBCUTANEOUS--FAC",24200,"3,974.00"
24201,"REMOVAL FOREIGN BODY,UPPER ARM,DEEP--FAC",24201,"6,854.00"
24220,INJECTION FOR ELBOW X-RAY - FAC,24220,435.00
24300,MANIPULATE ELBOW W/ANESTH-FAC,24300,"3,980.00"
24301,MUSCLE/TENDON TRANSFER--FAC,24301,"16,528.00"
24305,ARM TENDON LENGTHENING--FAC,24305,"10,770.00"
24310,"TENOTOMY,OPEN,ELBOW TO SHOULDER,SINGLE,EACH--FAC",24310,"7,799.00"
24320,REPAIR OF ARM TENDON--FAC,24320,"16,528.00"
24330,REVISION OF ARM MUSCLES--FAC,24330,"18,170.00"
24331,REVISION OF ARM MUSCLES - FAC,24331,"16,528.00"
24332,"TENOLYSIS, TRICEPS-FAC",24332,"7,479.00"
24340,*TENODESIS FOR RUPTURE OF BICEPS TENDON AT ELBOW--FAC,24340,"16,528.00"
24341,"REP TENDON OR MUSCLE,UPPER ARM, ELBOW, EA PRIM OR SECONDRY",24341,"16,528.00"
24342,REINSERTION RUPTURED BICEPS TENDON DISTAL W/WO TENDON GRAFT,24342,"16,528.00"
24343,REPR ELBOW LAT LIGMNT W/TISS-FAC,24343,"8,601.00"
24344,RECONSTRUCT ELBOW LAT LIGMNT-FAC,24344,"16,528.00"
24345,REPR ELBW MED LIGMNT W/TISS-FAC,24345,"16,528.00"
24346,RECONSTRUCT ELBOW MED LIGMNT-FAC,24346,"29,843.00"
24357,"REPAIR ELBOW, PERC - FAC",24357,"7,106.00"
24358,"REPAIR ELBOW W/DEB, OPEN - FAC",24358,"7,106.00"
24359,REPAIR ELBOW DEB/ATTCH OPEN - FAC,24359,"7,479.00"
24360,RECONSTRUCT ELBOW JOINT--FAC,24360,"16,528.00"
24361,RECONSTRUCT OF ELBOW JOINT - FAC,24361,"45,314.00"
24362,RECONSTRUCTION OF ELBOW JOINT -  FAC,24362,"29,843.00"
24363,REPLACE ELBOW JOINT--FAC,24363,"45,314.00"
24365,RECONSTRUCT HEAD OF RADIUS--FAC,24365,"29,843.00"
24366,RECONSTRUCTION OF HEAD OF RADIUS - FAC,24366,"29,843.00"
24370,"REVISE RECONST ELBOW JOINT, HUMERAL OR ULNAR - FAC",24370,"29,843.00"
24371,"REVISE RECONST ELBOW JOINT, HUMERAL AND ULNAR - FAC",24371,"45,314.00"
24400,OSTEOTOMY HUMERUS WITH OR WITHOUT INTERNAL FIXATION--FAC,24400,"16,528.00"
24410,REVISN OF HUMERUS--FAC,24410,"29,843.00"
24420,REVISION OF HUMERUS - FAC,24420,"16,528.00"
24430,REPAIR OF NON-UNION OR MALUNION HUMEROUS WITHOUT GRAFT--FAC,24430,"32,864.00"
24435,REPAIR NON-UNION OR MALUNION HUMERUS W/AUTOGENOUS BONE GRAFT,24435,"29,735.00"
24470,REVISION OF ELBOW JOINT--FAC,24470,"10,815.00"
24495,"DECOMPRESSION FASCIOTOMY,FOREARM,W/BRACHIAL ARTERY EXPLOR",24495,"16,528.00"
24498,"PROPHYLACTIC TREATMENT W-W/O METHYL METHACRYLATE,HUMERUS",24498,"29,843.00"
24500,*TREATMENT OF CLOSED HUMERAL SHAFT FX-W/O MANIPULATION--FAC,24500,808.00
24505,*TREATMENT OF CLOSED HUMERAL SHAFT FX-W/MANIPULATION--FAC,24505,"3,980.00"
24515,HUMERAL SHAFT FRACTURE CLOSED/OPEN OPEN REDUC W/WO FIXATION,24515,"29,843.00"
24516,TX OF OPN HMRL SHFT FX-W/INSERTION OF INTRAMEDULLAR IMPLNT,24516,"29,843.00"
24530,"CLS TX SPRCNDY/TRNSCNDY HMRL FX WOR W/O INTRCNDY,W MANIP-FAC",24530,816.00
24535,"TRTMNT OF CLSD HUMERAL SUPRA/TRNSCONDYLAR FX,W/MANIP-TECH",24535,"3,980.00"
24538,SUPRACONDYLAROR TRANSCONDYLAR FX WITH PERCUTANEOUS FIXATION,24538,"16,528.00"
24545,OPEN REDUCTION SUPRA OR TRANSCONDYLE FX W/WO FIXATION - TECH,24545,"29,843.00"
24546,"OPEN TREAT OF HUMERAL SUPR/TRANS CONDYLAR FX,W/WO FIX",24546,"45,314.00"
24560,TREAT HUMERUS FRACTURE  --FAC,24560,816.00
24565,TREAT  HUMERUS  FRACTURE - FAC,24565,"3,980.00"
24566,TREAT  HUMERUS FRACTURE - TECH,24566,"5,939.00"
24575,"OPEN TX OF EPICONDYLAR FX, MED/LAT, W/WO FIXATION-FAC",24575,"29,843.00"
24576,TREAT HUMERUS FRACTURE -  FAC,24576,816.00
24577,"TREATMENT OF CLOSED HUMERAL CONDYLAR FX,MEDIAL/LAT,W/MANIP",24577,"3,980.00"
24579,"CONDYLAR FX CLOSED/OPEN, OPEN REDUC,W/WO FIXATION--FAC",24579,"29,843.00"
24582,"PERCUT SKELETAL FIX OF HUMERAL CONDYLAR FX, MED/LATERAL",24582,"7,799.00"
24586,REPAIR ELBOW FRACTURE--FAC,24586,"29,843.00"
24587,REPAIR OF ELBOW FRACTURE - FAC,24587,"29,843.00"
24600,ELBOW DISL CR W/O ANES--FAC,24600,964.00
24605,TRTMNT OF CLSD ELBW DISLOCATION-REQUIRING ANESTHESIA-TECH,24605,"3,771.00"
24615,OPEN TREATMENT OF CLOSED OR OPEN ELBOW DISLOCATION--FAC,24615,"15,206.00"
24620,TMT OF CLOSED MONTEGGIA TYPE OF FRACTURE DISLOC AT ELBOW,24620,"3,771.00"
24635,"MONTEGGIA TYPE OF FX DISLOCATION,CLOSED OR OPEN,OPEN REDUC",24635,"16,006.00"
24640,RADIAL HEAD SUBLUX--FAC,24640,816.00
24650,"TREAT RADIUS FX, HEAD OR NECK, W/O MANIPULATION",24650,816.00
24655,TRTMNT OF CLSED RADIAL HEAD OR NCK FX-W/MANIPULATION-TECH,24655,"3,980.00"
24665,RADIAL HEAD OR NECK FRACTURE CLOSED OR OPEN OPEN REDUCTION,24665,"16,528.00"
24666,REPAIR RADIUS FRACTURE--FAC,24666,"29,843.00"
24670,TREATMENT OF ULNA FRACTURE--FAC,24670,816.00
24675,TRTMNT OF ULNA FRACTURE - FAC,24675,"3,980.00"
24685,"OPEN TX OF ULNAR FX PROXIMAL END, W/WO FIXATION-FAC",24685,"19,280.00"
24800,FUSION OF ELBOW JOINT--FAC,24800,"16,528.00"
24802,FUSION/GRAFT OF ELBOW JOINT--FAC,24802,"29,843.00"
24925,AMPUTATION FOLLOW-UP SURGERY -  FAC,24925,"7,799.00"
24935,REVISION OF AMPUTATION--FAC,24935,"18,170.00"
2499002,"HANDLING FEE, US MAIL, CUSTOM ORTHO",,15.00
24999,UNLISTED PROCEDURE HUMERUS OR ELBOW--FAC,24999,750.00
25000,"INCISN, EXTENSOR TENDON SHEATH, WRIST --FAC",25000,"5,215.00"
25001,INCISE FLEXOR CARPI RADIALIS-FAC,25001,"4,773.00"
25020,DECOMPRESSION OF FOREARM--FAC,25020,"7,479.00"
25023,DECOMPRESSION OF FOREARM - -FAC,25023,"7,479.00"
25024,DECOMPRSS FOREARM 2 SPACES-FAC,25024,"7,479.00"
25025,DECOMPRESS FORARM TWO SPACES-FAC,25025,"7,479.00"
25028,"INCISION/DRAIN,FOREARM AND/OR WRST,DEEP ABSCESS OR HEMATOMA",25028,"7,799.00"
25031,DRAINAGE OF FOREARM BURSA--FAC,25031,"4,773.00"
25035,TREAT FOREARM BONE LESION--FAC,25035,"16,528.00"
25040,"ARTHROTOMY,RADIOCARPAL OR MIDCARPAL W/EXPLOR,DRAINAGE",25040,"7,106.00"
25065,"*BIOPSY,SFT TISSUE OF FOREARM AND/OR WRIST-SUPERF",25065,"3,974.00"
25066,"*BIOPSY,SOFT TISSUE OF FOREARM AND/OR WRIST-DEEP--FAC",25066,"6,854.00"
25071,EXC FOREARM LES SC GT 3 CM - FAC,25071,"7,238.00"
25073,EXC FOREARM TUM DEEP GTE 3 CM - FAC,25073,"6,293.00"
25075,"EXCISION, SOFT TISSUE, FOREARM/WRIST, SUBQ, LESS THAN 3 CM",25075,"3,634.00"
25076,"EXC, TUMOR, FOREARM/WRIST, SUBFASC (EG, IM), LESS THAN 3CM",25076,"4,626.00"
25077,"RAD RSCT TUMOR, SOFT TISS FOREARM/WRIST, LESS THAN 3CM",25077,"3,855.00"
25078,RESECT FOREARM/WRIST TUM GTE 3CM - FAC,25078,"6,293.00"
25085,INCISION OF WRIST CAPSULE-TECH,25085,"7,799.00"
25100,"ARTHROTOMY,WRIST JOINT-FOR BIOPSY-TECH",25100,"5,489.00"
25101,"*ARTHROTOMY,WRST JOINT,W/JOINT EXPLORATION,W/WO BX",25101,"8,601.00"
25105,"ARTHROTOMY,WRIST JOINT FOR SYNOVECTOMY-TECH",25105,"8,336.00"
25107,"REMOVE WRIST,JOINT CARTILAGE-TECH",25107,"7,479.00"
25109,EXCISE TENDON FOREARM/WRIST - FAC,25109,"7,799.00"
25110,"EXCISION,LESION OF TENDON,SHEATH,FOREARM,AND/OR WRIST-TECH",25110,"4,773.00"
25111,"*EXCISION OF GANGLION,WRIST-PRIMARY--FAC",25111,"6,587.00"
25112,"EXCISION OF GANGLION,WRIST-RECURRENT--FAC",25112,"5,489.00"
25115,"RADICAL EXC.BURSA,SYNOVIA OR FOREARM TENDON SHEATHS,FLEXORS",25115,"6,224.00"
25116,"RADICAL EXC OB BURSA,SYNOVIA OF WRIST/FOREARM TENDON SHEATH",25116,"7,905.00"
25118,"SYNOVECTOMY,EXTENSOR TENDON SHEATH,WRIST,SINGLE COMPTMNT",25118,"8,528.00"
25119,"SYNOVECTOMY EXTENSOR SHEATH,W/RESECTION OF DISTAL ULNA",25119,"7,479.00"
25120,EXCISION OR CURETTAGE OF BONE CYST OF RADIUS OR ULNA--FAC,25120,"7,566.00"
25125,"EXC/CURETTAGE BONE CYST/BNGN TMR OF RADIUS ULNA,W/AUTOGRAFT",25125,"7,479.00"
25126,*EXC/CURETTAGE OF BONE CYST/BENIGN TUMOR OF RADIUS/ULNA,25126,"7,799.00"
25130,EXCIS/CURETTAGE OF BONE CYST/BENIGN TUMOR OF CARPAL BONES,25130,"8,528.00"
25135,REMOVE & GRAFT WRIST LESION--FAC,25135,"7,479.00"
25136,REMOVE AND GRAFT WRIST LESION - FAC,25136,"16,528.00"
25145,REMOVE FOREARM BONE LESION--FAC,25145,"7,479.00"
25150,PARTIAL REMOVAL OF ULNA--FAC,25150,"7,479.00"
25151,PRTL EXC OF BONE RADIUS -FAC,25151,"7,479.00"
25170,"RADICAL RESECTION OF TUMOR, RADIUS OR ULNA--FAC",25170,"16,528.00"
25210,CARPECTOMY ONE BONE--FAC,25210,"7,479.00"
25215,CARPECTOMY ALL BONES OR PROXIMAL ROW--FAC,25215,"10,322.00"
25230,RADICAL STYLOIDECTOMY INDEPENDENT PROCEDURE--FAC,25230,"8,601.00"
25240,EXC DISTAL ULNA PARTIAL OR COMPLETE - FAC,25240,"8,528.00"
25246,INJECTION FOR WRIST X-RAY - FAC,25246,402.00
25248,EXPLORATION/REMOVAL FB--FAC,25248,"5,489.00"
25250,"REMOVAL OF WRIST PROSTHESIS, SEP PROC- FAC",25250,"7,479.00"
25251,*REMOVAL OF WRIST PROSTHESIS-COMPLICATED--FAC,25251,"7,799.00"
25259,MANIPULATE WRIST W/ANESTHES-FAC,25259,"3,771.00"
25260,REPAIR FLEX TENDN PRIM EACH--FAC,25260,"7,479.00"
25263,"REP TENDON OR MUSCLE,FLEXOR,FOREARM AND/OR WRST,SCNDRY",25263,"7,479.00"
25265,REPAIR FOREARM TENDON/MUSCLE--FAC,25265,"7,479.00"
25270,REPAIR EXTENSOR TENDON--FAC,25270,"7,479.00"
25272,"REP,TENDON/MUSCLE,EXTENSOR,WRIST &/OR FOREARM-SCNDRY,SNGL",25272,"7,479.00"
25274,"REPAIR MUSCLE/TENDON,SECONDARY, WITH FREE GRFT",25274,"7,479.00"
25275,REPAIR FOREARM TENDON SHEATH-FAC,25275,"7,106.00"
25280,LENGTHENING OR SHORTENING FLEXOR OR EXTENSOR TENDON,25280,"10,770.00"
25290,INCISE WRIST/FOREARM TENDON--FAC,25290,"8,053.00"
25295,"TENOLYSIS,SINGLE FLEXOR OR EXTENSOR TENDON,EA TENDON--FAC",25295,"7,799.00"
25300,FUSION OF TENDNS AT WRST--FAC,25300,"7,479.00"
25301,FUSION OF TENDONS AT WRIST - FAC,25301,"7,479.00"
25310,"TENDON TRANSPLANT OR TRANSFER,FLEXOR OR EXTENSOR,SNGL TENDON",25310,"7,106.00"
25312,TRANSPLANT FOREARM TENDON--FAC,25312,"10,815.00"
25315,REVISE PALSY HAND TENDON(S)--FAC,25315,"16,528.00"
25316,REVISE PALSY HAND TENDON(S) - FAC,25316,"18,170.00"
25320,"*CAPSULORRHAPHY OR RECONSTRUCTION,CAPSULECTOMY,WRIST--FAC",25320,"16,528.00"
25332,"ARTHROPLASTY,WRIST,PSEUDARTHROSIS TYPE W/INTERNAL FIXATION",25332,"9,669.00"
25335,REALIGNMENT OF HAND--FAC,25335,"10,815.00"
25337,RECONSTRUCT FOR STABILIZATION OF  DISTAL ULNA OR DISTA,25337,"16,528.00"
25350,REVISION OF RADIUS--FAC,25350,"16,528.00"
25355,"*OSTEOTOMY,RADIUS-MIDDLE OR PROXIMAL THIRD--FAC",25355,"10,815.00"
25360,"OSTEOTOMY, ULNA--FAC",25360,"16,528.00"
25365,REVIS RADIUS & ULNA--FAC,25365,"29,843.00"
25370,REVISE RADIUS OR ULNA--FAC,25370,"10,815.00"
25375,REVISE RADIUS & ULNA - FAC,25375,"10,815.00"
25390,"OSTEOPLASTY, RADIUS OR ULNA, SHORTENING--FAC",25390,"16,528.00"
25391,LENGTHEN RADIUS/ULNA--FAC,25391,"29,843.00"
25392,SHORTEN RADIUS & ULNA--FAC,25392,"7,479.00"
25393,LENGTHEN RADIUS & ULNA--FAC,25393,"10,815.00"
25394,"REPAIR CARPAL BONE, SHORTEN-FAC",25394,"10,815.00"
25400,REPAIR NON-UNION/MALUNION RADIUS OR ULNA WITHOUT GRAFT--FAC,25400,"17,311.00"
25405,RPR NON-UNION OR MALUNION RADIUS OR ULNA W/AUTOGENOUS GRFT,25405,"18,170.00"
25415,"REPAIR OF NONUNION OR MALUNION, RADIUS AND ULNA;W/O GRAFT",25415,"19,916.00"
25420,"REPR NONUNION/MAULUNION, RADIUS AND ULNA, W AUTOGRFT -FAC",25420,"18,170.00"
25425,REPAIR OF BONE DEFICIT WITH AUTOGENOUS GRAFT RADIUS OR ULNA,25425,"16,528.00"
25426,REPAIR/GRAFT RADIUS & ULNA - FAC,25426,"10,815.00"
25430,VASC GRAFT INTO CARPAL BONE-FAC,25430,"10,815.00"
25431,REPAIR NONUNION CARPAL BONE-FAC,25431,"16,528.00"
25440,RPR NON-UNION NAVICULAR BNE W/WO RAD STYLOIDECTOMY INCL GRFT,25440,"16,528.00"
25441,ARTHROPLASTY W/PROSTHETIC REPLACEMENT;DISTAL RADIUS--FAC,25441,"29,843.00"
25442,RECONSTRUCT WRIST JOINT--FAC,25442,"45,314.00"
25443,ARTHROPLASTY W/PROSTHETIC REPLACEMENT SCAPHOID (NAVICULAR),25443,"16,528.00"
25444,RECONSTRUCTION OF WRIST JOINT--FAC,25444,"29,843.00"
25445,ARTHROPLASTY PROSTHETIC REPLACEMENT TRAPEZIUM--FAC,25445,"16,528.00"
25446,WRIST REPLACEMENT--FAC,25446,"45,314.00"
25447,"INTERPOSITION ARTHROPLASTY,INTERCARPAL/CARPOMETACARPAL JNTS",25447,"10,473.00"
25449,REMOVAL OF IMPLANT--FAC,25449,"16,528.00"
25450,REVISION OF WRST JOINT--FAC,25450,"10,815.00"
25455,REVISION OF WRIST JOINT - FAC,25455,"10,815.00"
25490,*PROPHYLACTIC TREATMENT W-W/O METHYLMETHACRYLATE-RADIUS--FAC,25490,"16,528.00"
25491,REINFORCE ULNA--FAC,25491,"29,843.00"
25492,REINFORCE RADIUS AND ULNA--FAC,25492,"10,815.00"
25500,"TREAT RADIUS FX, SHAFT, W/O MANIPULATION",25500,816.00
25505,TRTMNT OF CLSD RADIAL SHAFT FRCTURE-W/MANIPULATION-TECH,25505,"3,980.00"
25515,"RADIAL SHFT FX CLOSED OR OPEN,OPEN REDUCTION W/WO FIXATION",25515,"16,528.00"
25520,CL TREAT RADIAL SHAFT FX W/DISL DISTAL RADIOULNAR JT--FAC,25520,"3,980.00"
25525,OPN TMT RAD SHFT FX W/FIX & CL TX DISTAL RADIOULNAR JNT,25525,"16,528.00"
25526,"OPEN TRAT RAD SHAFT FX,W/FIX&OP TX DISTAL RADIOULNAR JNT",25526,"16,528.00"
25530,TREAT FRACTURE OF ULNA--FAC,25530,816.00
25535,TREATMNT OF CLOSED ULNAR SHAFT FRACTURE-W/MANIPULATION--FAC,25535,808.00
25545,"ULNAR SHAFT FX CLSD OR OPN,OPEN REDUCTION W/WO FIX-TECH",25545,"16,528.00"
25560,TREAT FRACTURE RADIUS & ULNA--FAC,25560,900.00
25565,"RADIAL & ULNAR SHAFT CLSD FX W/REDUCTION,MANIPULATIVE--FAC",25565,"3,980.00"
25574,"OPN TMT OF RADIAL AND ULNAR SHFT FXS,W/FIX RADIUS/ULNA",25574,"16,006.00"
25575,"OPN TX SHFT FX, W/ INTERNAL/EXTER FIXTN, OF RADIUS AND ULNA",25575,"18,769.00"
25600,"CLOSED DISTAL RADIAL FX, INCL ULNAR STYLOID, W/O MANIP-FAC",25600,816.00
25605,"CLOSED DISTAL RADIAL FX , INCL ULNAR STYLOID, W MANIP-FAC",25605,"3,980.00"
25606,TREAT FX DISTAL RADIAL - FAC,25606,"8,102.00"
25607,TREAT FX RAD EXTRA-ARTICUL - FAC,25607,"16,528.00"
25608,TREAT FX RAD INTRA-ARTICUL - FAC,25608,"15,206.00"
25609,TREAT FX RADIAL 3+ FRAG - FAC,25609,"16,528.00"
25622,TREAT WRIST BONE FRACTURE--FAC,25622,816.00
25624,TREAT WRIST BONE  FRACTURE--FAC,25624,"3,980.00"
25628,*OPEN TREATMENT OF CLOSED/OPEN CARPAL SCAPHOID FX,25628,"16,528.00"
25630,TREAT WRIST BONE FRACTURE --FAC,25630,900.00
25635,TREAT WRIST BONE RFACTURE - FAC,25635,"3,980.00"
25645,"OPEN TREATMENT OF CLOSED OR OPEN CARPAL BONE FX,EACH BONE",25645,"12,152.00"
25650,*TREATMENT OF CLOSED ULNAR STYLOID FRACTURE--FAC,25650,970.00
25651,PIN ULNAR STYLOID FRACTURE-FAC,25651,"7,799.00"
25652,TREAT FRACTURE ULNAR STYLOID-FAC,25652,"16,528.00"
25660,"TMT OF CLOSED RADIOCARPAL/INTERCARPAL DIXLOC,1+BONES",25660,816.00
